Order ID,Date,Category,Sub-Category,Product,Region,State,Sales,Quantity,Discount,Profit
1001,2024-01-05,Technology,Phones,Samsung Galaxy S23,West,California,1200.50,2,0.1,320.00
1002,2024-01-08,Furniture,Chairs,Ergonomic Office Chair,East,New York,450.00,1,0.05,90.00
1003,2024-01-12,Office Supplies,Binders,Heavy Duty Binder,South,Texas,35.00,5,0.0,12.00
1004,2024-01-15,Technology,Laptops,Dell Inspiron 15,West,California,980.00,1,0.15,210.00
1005,2024-01-20,Furniture,Tables,Conference Table,North,Illinois,1500.00,1,0.0,300.00
1006,2024-02-03,Office Supplies,Paper,A4 Paper Ream,East,New York,25.00,10,0.0,8.00
1007,2024-02-07,Technology,Accessories,Wireless Mouse,South,Florida,45.00,3,0.05,15.00
1008,2024-02-14,Furniture,Bookcases,5-Shelf Bookcase,West,California,320.00,2,0.1,64.00
1009,2024-02-18,Technology,Phones,iPhone 15 Pro,East,New York,1399.00,1,0.0,420.00
1010,2024-02-22,Office Supplies,Pens,Ball Point Pen Set,North,Illinois,18.00,8,0.0,6.00
1011,2024-03-01,Technology,Monitors,LG 27inch Monitor,West,California,399.00,2,0.1,88.00
1012,2024-03-05,Furniture,Chairs,Visitor Chair,South,Texas,220.00,4,0.05,44.00
1013,2024-03-10,Office Supplies,Binders,Ring Binder A4,East,New York,12.00,15,0.0,4.00
1014,2024-03-15,Technology,Laptops,HP Pavilion 14,North,Illinois,750.00,1,0.1,150.00
1015,2024-03-20,Furniture,Tables,Study Desk,South,Florida,280.00,2,0.0,56.00
1016,2024-04-02,Office Supplies,Paper,Legal Pad Pack,West,California,30.00,6,0.0,10.00
1017,2024-04-08,Technology,Accessories,USB-C Hub,East,New York,65.00,5,0.05,20.00
1018,2024-04-14,Furniture,Bookcases,2-Shelf Bookcase,South,Texas,150.00,3,0.0,30.00
1019,2024-04-20,Technology,Phones,OnePlus 12,North,Illinois,799.00,1,0.1,180.00
1020,2024-04-25,Office Supplies,Pens,Marker Set,West,California,22.00,10,0.0,8.00
1021,2024-05-03,Technology,Monitors,Samsung 24inch,South,Florida,299.00,3,0.1,66.00
1022,2024-05-09,Furniture,Chairs,Gaming Chair,East,New York,550.00,1,0.05,110.00
1023,2024-05-15,Office Supplies,Binders,Lever Arch File,West,California,15.00,20,0.0,5.00
1024,2024-05-21,Technology,Laptops,Lenovo ThinkPad,North,Illinois,1200.00,1,0.05,250.00
1025,2024-05-28,Furniture,Tables,Coffee Table,South,Texas,180.00,2,0.0,36.00
1026,2024-06-04,Office Supplies,Paper,Glossy Photo Paper,East,New York,40.00,4,0.05,12.00
1027,2024-06-10,Technology,Accessories,Bluetooth Speaker,West,California,120.00,2,0.1,30.00
1028,2024-06-16,Furniture,Bookcases,Corner Shelf,South,Florida,200.00,1,0.0,40.00
1029,2024-06-22,Technology,Phones,Google Pixel 8,North,Illinois,699.00,2,0.1,154.00
1030,2024-06-28,Office Supplies,Pens,Gel Pen Pack,East,New York,16.00,12,0.0,5.00
1031,2024-07-05,Technology,Monitors,Dell 32inch 4K,West,California,799.00,1,0.1,160.00
1032,2024-07-11,Furniture,Chairs,Bar Stool Set,South,Texas,380.00,1,0.0,76.00
1033,2024-07-17,Office Supplies,Binders,Display Book,East,New York,10.00,25,0.0,3.00
1034,2024-07-23,Technology,Laptops,MacBook Air M2,North,Illinois,1299.00,1,0.0,300.00
1035,2024-07-29,Furniture,Tables,Standing Desk,West,California,650.00,2,0.1,130.00
1036,2024-08-04,Office Supplies,Paper,Sticky Notes Pack,South,Florida,15.00,20,0.0,5.00
1037,2024-08-10,Technology,Accessories,Webcam HD,East,New York,89.00,3,0.05,25.00
1038,2024-08-16,Furniture,Bookcases,Floating Shelf Set,North,Illinois,90.00,4,0.0,18.00
1039,2024-08-22,Technology,Phones,Xiaomi 14 Ultra,South,Texas,950.00,1,0.05,210.00
1040,2024-08-28,Office Supplies,Pens,Highlighter Set,West,California,12.00,15,0.0,4.00
1041,2024-09-03,Technology,Monitors,ASUS 27inch IPS,East,New York,450.00,2,0.1,99.00
1042,2024-09-09,Furniture,Chairs,Recliner Chair,South,Florida,900.00,1,0.05,180.00
1043,2024-09-15,Office Supplies,Binders,Clipboard Set,North,Illinois,20.00,10,0.0,7.00
1044,2024-09-21,Technology,Laptops,Acer Aspire 5,West,California,699.00,2,0.1,140.00
1045,2024-09-27,Furniture,Tables,Folding Table,South,Texas,120.00,3,0.0,24.00
1046,2024-10-03,Office Supplies,Paper,Carbon Copy Paper,East,New York,18.00,8,0.0,6.00
1047,2024-10-09,Technology,Accessories,Noise Cancel Headphones,North,Illinois,199.00,2,0.1,55.00
1048,2024-10-15,Furniture,Bookcases,Wall Mounted Rack,West,California,110.00,3,0.05,22.00
1049,2024-10-21,Technology,Phones,Sony Xperia 1 V,South,Florida,1199.00,1,0.0,280.00
1050,2024-10-27,Office Supplies,Pens,Fountain Pen Set,East,New York,45.00,5,0.05,15.00
1051,2024-11-02,Technology,Monitors,ViewSonic 24inch,North,Illinois,280.00,3,0.1,62.00
1052,2024-11-08,Furniture,Chairs,Accent Chair,West,California,420.00,2,0.0,84.00
1053,2024-11-14,Office Supplies,Binders,Portfolio Folder,South,Texas,25.00,8,0.0,8.00
1054,2024-11-20,Technology,Laptops,Microsoft Surface,East,New York,1499.00,1,0.05,320.00
1055,2024-11-26,Furniture,Tables,Round Dining Table,North,Illinois,850.00,1,0.1,170.00
1056,2024-12-02,Office Supplies,Paper,Cardstock Paper,West,California,28.00,12,0.0,9.00
1057,2024-12-08,Technology,Accessories,Smart Watch,South,Florida,250.00,2,0.15,60.00
1058,2024-12-14,Furniture,Bookcases,Kids Bookshelf,East,New York,130.00,2,0.0,26.00
1059,2024-12-20,Technology,Phones,Motorola Edge 50,North,Illinois,499.00,3,0.1,110.00
1060,2024-12-26,Office Supplies,Pens,Whiteboard Markers,West,California,20.00,10,0.0,7.00
